@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %08s "ICR_IPN2"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720813
@ CHARGE           %le                   1
@ ENERGY           %le         200.0022009
@ PC               %le                 200
@ GAMMA            %le         213.1601322
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le              0.0003
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le     1.641976142e-09
@ EY               %le     3.283952285e-10
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le            2335.975
@ ALFA             %le      0.005796577504
@ ORBIT5           %le                  -0
@ GAMMATR          %le          13.1345191
@ Q1               %le         23.21998653
@ Q2               %le         20.16005938
@ DQ1              %le     6.523722838e-10
@ DQ2              %le     1.748931592e-09
@ DXMAX            %le         5.665685856
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         4212.862086
@ BETYMAX          %le          4208.30176
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.692066567
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.04.02 Linux 64"
@ DATE             %08s "27/06/19"
@ TIME             %08s "13.47.44"
* NAME               KEYWORD                             S                  L              ANGLE               BETY               ALFY                MUY                K1L 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le 
 "ICR_IPN2$START"    "MARKER"                             0                  0                  0       0.0159792658    0.0003496222208                  0                  0
 "MIP"               "MARKER"                             0                  0                  0       0.0159792658    0.0003496222208                  0                  0
 "SOLDETDS"          "SOLENOID"                         2.4                2.4                  0        360.4814699        -150.194304       0.2489959994                  0
 "DFFDS0101"         "DRIFT"                              5                2.6                  0        1564.540125       -312.9051789       0.2495470095                  0
 "BXSP01RE1"         "SBEND"                          5.375              0.375            0.00075        1808.015693       -336.3676958       0.2495824955                  0
 "IPDSCORR1"         "KICKER"                         5.375                  0                  0        1808.015693       -336.3676958       0.2495824955                  0
 "BXSP01RM"          "SBEND"                           5.75              0.375            0.00075        2069.091669       -359.8349064        0.249613353                  0
 "BXSP01RM"          "SBEND"                          6.125              0.375            0.00075        2347.768053        -383.302117       0.2496404321                  0
 "IPDSCORR2"         "KICKER"                         6.125                  0                  0        2347.768053        -383.302117       0.2496404321                  0
 "BXSP01RE2"         "SBEND"                            6.5              0.375            0.00075        2644.044845       -406.7613955       0.2496643867                  0
 "DFFDS0102"         "DRIFT"                              7                0.5                  0        3066.450437       -438.0497894       0.2496923338                  0
 "QFFDS01A"          "QUADRUPOLE"                      9.25               2.25                  0        4186.661393       -12.00682291       0.2497876346      -0.1256189805
 "DFFDS0103"         "DRIFT"                           9.45                0.2                  0        4191.465509        -12.0137575       0.2497952331                  0
 "QFFDS01S"          "QUADRUPOLE"                      9.95                0.5                  0        4203.487935       -12.03109396       0.2498141916                  0
 "DFFDS0103"         "DRIFT"                          10.15                0.2                  0         4208.30176       -12.03802855       0.2498217598                  0
 "QFFDS01B"          "QUADRUPOLE"                      12.4               2.25                  0        3171.464794        428.5982574       0.2499152281      -0.1256189805
 "DFFDS0201"         "DRIFT"                           12.6                0.2                  0        3002.342369        417.0138648       0.2499255436                  0
 "QFFDS02S"          "QUADRUPOLE"                      13.1                0.5                  0        2599.808995        388.0528834       0.2499540269                  0
 "DFFDS0201"         "DRIFT"                           13.3                0.2                  0        2446.904721        376.4684908       0.2499666472                  0
 "QFFDS02"           "QUADRUPOLE"                      17.8                4.5                  0        982.4460073        30.27083142       0.2504916739       0.1751139309
 "DFFDS0202"         "DRIFT"                             18                0.2                  0        970.3750233        30.08408869       0.2505242745                  0
 "QFFDS03S"          "QUADRUPOLE"                      18.5                0.5                  0         940.524363        29.61723188       0.2506075727                  0
 "DFFDS0203"         "DRIFT"                           18.7                0.2                  0        928.7148188        29.43048915        0.250641631                  0
 "AASOLEDS"          "SOLENOID"                        19.9                1.2                  0        859.4261925        28.31003278       0.2508554056                  0
 "MCPLDS"            "MARKER"                          19.9                  0                  0        859.4261925        28.31003278       0.2508554056                  0
 "DFFDS052"          "DRIFT"                           21.8                1.9                  0        755.2187741        26.53597687        0.251230753                  0
 "BXSP02R"           "RBEND"                           29.8                  8             -0.053        388.8768572        19.19243177       0.2535802963                  0
 "DFFDS06"           "DRIFT"                    39.35814133         9.55814133                  0        108.7594343        10.11425174       0.2609799354                  0
 "MCOHORB02"         "MARKER"                   39.35814133                  0                  0        108.7594343        10.11425174       0.2609799354                  0
 "DSPDS00"           "DRIFT"                    41.20814133               1.85                  0        74.58734236        8.357149335       0.2642492474                  0
 "DBXE"              "DRIFT"                    41.34814133               0.14                  0        72.26595633        8.224179424       0.2645527406                  0
 "BXSP03R"           "RBEND"                    47.84814133                6.5              0.053        5.427339854        2.044238985       0.3177755711                  0
 "DBXE"              "DRIFT"                    47.98814133               0.14                  0        4.873655784        1.910647236       0.3221084932                  0
 "DSPDS03"           "DRIFT"                    48.98814133                  1                  0        2.006588091       0.9564204569       0.3739120256                  0
 "DSPDS03"           "DRIFT"                    49.98814133                  1                  0        1.047973956      0.00219367809       0.4950182788                  0
 "DSPDS03"           "DRIFT"                    50.98814133                  1                  0        1.997813379      -0.9520331007       0.6164573188                  0
 "DSPDS03"           "DRIFT"                    51.98814133                  1                  0        4.856106359        -1.90625988       0.6684759145                  0
 "BXYC"              "KICKER"                   52.48814133                0.5                  0        7.000922933       -2.383373269       0.6821406774                  0
 "DQE"               "DRIFT"                    52.53814133               0.05                  0        7.241645827       -2.431084608       0.6832583058                  0
 "QSPDS02"           "QUADRUPOLE"               53.33814133                0.8                  0        13.25143827       -5.438627949       0.6965858422       0.1801522698
 "DQE"               "DRIFT"                    53.38814133               0.05                  0           13.80107       -5.554006648       0.6971742836                  0
 "MON"               "MONITOR"                  53.53814133               0.15                  0        15.51919241       -5.900142743       0.6988055619                  0
 "DSPDS01"           "DRIFT"                    53.83814133                0.3                  0        19.26695971       -6.592414933       0.7015669155                  0
 "DBXE"              "DRIFT"                    53.97814133               0.14                  0        21.15806434       -6.915475288       0.7026705038                  0
 "BXSPDS01R"         "RBEND"                    57.97814133                  4     -0.03533333333         113.342103       -16.11614705       0.7156850983                  0
 "DBXE"              "DRIFT"                    58.11814133               0.14                  0        117.8997117        -16.4382006       0.7158778491                  0
 "DSPDS01"           "DRIFT"                    58.41814133                0.3                  0        127.9696665       -17.12831537       0.7162665647                  0
 "BXYC"              "KICKER"                   58.91814133                0.5                  0        145.6730775       -18.27850664       0.7168494028                  0
 "DQE"               "DRIFT"                    58.96814133               0.05                  0        147.5066791       -18.39352577       0.7169036897                  0
 "QSPDS03"           "QUADRUPOLE"               59.76814133                0.8                  0        160.5360703        2.710815744        0.717715952      -0.1380496442
 "DQE"               "DRIFT"                    59.81814133               0.05                  0        160.2651187        2.708215543       0.7177655637                  0
 "MON"               "MONITOR"                  59.96814133               0.15                  0        159.4538241        2.700414939       0.7179149031                  0
 "DSPDS01"           "DRIFT"                    60.26814133                0.3                  0        157.8382555        2.684813731       0.7182158696                  0
 "DBXE"              "DRIFT"                    60.40814133               0.14                  0         157.087527        2.677533167       0.7183573744                  0
 "BXSPDS02R"         "RBEND"                    64.40814133                  4     -0.03533333333        136.3166242         2.51195077       0.7227083731                  0
 "DBXE"              "DRIFT"                    64.54814133               0.14                  0         135.614329        2.504443354       0.7228722513                  0
 "DSPDS01"           "DRIFT"                    64.84814133                0.3                  0        134.1164892        2.488356035       0.7232262876                  0
 "BXYC"              "KICKER"                   65.34814133                0.5                  0        131.6415393        2.461543837       0.7238251867                  0
 "DQE"               "DRIFT"                    65.39814133               0.05                  0         131.395519        2.458862618       0.7238856933                  0
 "QSPDS04"           "QUADRUPOLE"               66.19814133                0.8                  0        150.4934556       -27.65950789       0.7248168281        0.210980672
 "DQE"               "DRIFT"                    66.24814133               0.05                  0         153.272132       -27.91402008       0.7248692243                  0
 "MON"               "MONITOR"                  66.39814133               0.15                  0        161.7608685       -28.67755665       0.7250208396                  0
 "DSPDS01"           "DRIFT"                    66.69814133                0.3                  0        179.4255245       -30.20462978       0.7253011007                  0
 "DBXE"              "DRIFT"                    66.83814133               0.14                  0        187.9825896       -30.91726391       0.7254224248                  0
 "BXSPDS03R"         "RBEND"                    70.83814133                  4     -0.03533333333        516.3755544       -51.12972441       0.7274658108                  0
 "DBXE"              "DRIFT"                    70.97814133               0.14                  0        530.7911439       -51.83877196        0.727508371                  0
 "DSPDS02"           "DRIFT"                    71.70844347       0.7303021377                  0        609.2082493       -55.53747868       0.7277127697                  0
 "BXYC"              "KICKER"                   72.20844347                0.5                  0        666.0118843       -58.06979135       0.7278376995                  0
 "DQE"               "DRIFT"                    72.25844347               0.05                  0         671.831525       -58.32302261        0.727849596                  0
 "QSPDS05"           "QUADRUPOLE"               73.05844347                0.8                  0        685.5107947        41.89655359       0.7280335735      -0.1463565427
 "DQE"               "DRIFT"                    73.10844347               0.05                  0        681.3275445        41.76845048       0.7280452176                  0
 "MON"               "MONITOR"                  73.25844347               0.15                  0        668.8546557        41.38414117       0.7280805821                  0
 "DSPDS02"           "DRIFT"                    73.98874561       0.7303021377                  0        609.7752555        39.51306177       0.7282625823                  0
 "DBXE"              "DRIFT"                    74.12874561               0.14                  0        598.7618146        39.15437308       0.7282994577                  0
 "BXSPDS04R"         "RBEND"                    80.62874561                6.5              0.053        197.0360203        22.56277128       0.7313114895                  0
 "DBXE"              "DRIFT"                    80.76874561               0.14                  0         190.769184        22.20034511       0.7314264163                  0
 "BXYC"              "KICKER"                   81.26874561                0.5                  0        169.2160284        20.90596592       0.7318693266                  0
 "DQBESDSE"          "DRIFT"                    81.31874561               0.05                  0        167.1319038          20.776528       0.7319166461                  0
 "QBESDS01"          "QUADRUPOLE"               82.11874561                0.8                  0        159.3602135       -10.56514736       0.7327171311        0.193733181
 "DQBESDSE"          "DRIFT"                    82.16874561               0.05                  0         160.418495       -10.60048313       0.7327669018                  0
 "MON"               "MONITOR"                  82.31874561               0.15                  0        163.6145411       -10.70649047       0.7329142596                  0
 "DBESDS01"          "DRIFT"                    87.31874561                  5                  0        288.3473341       -14.24006815       0.7365782943                  0
 "BXYC"              "KICKER"                   87.81874561                0.5                  0        302.7640812       -14.59342591       0.7368476215                  0
 "DQBESDSE"          "DRIFT"                    87.86874561               0.05                  0        304.2251905       -14.62876169        0.736873842                  0
 "QBESDS02"          "QUADRUPOLE"               88.66874561                0.8                  0        279.0673752        44.36428313       0.7372991494      -0.2019128504
 "DQBESDSE"          "DRIFT"                    88.71874561               0.05                  0        274.6485877        44.01146696       0.7373278934                  0
 "MON"               "MONITOR"                  88.86874561               0.15                  0        261.6039149        42.95301847       0.7374169571                  0
 "DBESDS01"          "DRIFT"                    93.86874561                  5                  0        8.481812279        7.671402054          0.7543425                  0
 "BXYC"              "KICKER"                   94.36874561                0.5                  0        2.574491046        4.143240412       0.7714045931                  0
 "DQBESDSE"          "DRIFT"                    94.41874561               0.05                  0        2.177807813        3.790424248        0.774765581                  0
